date,plays,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence
2021-01-01,0,,,,,,,,
2021-01-02,0,,,,,,,,
2021-01-03,0,,,,,,,,
2021-01-04,0,,,,,,,,
2021-01-05,0,,,,,,,,
2021-01-06,0,,,,,,,,
2021-01-07,0,,,,,,,,
2021-01-08,0,,,,,,,,
2021-01-09,0,,,,,,,,
2021-01-10,0,,,,,,,,
2021-01-11,0,,,,,,,,
2021-01-12,0,,,,,,,,
2021-01-13,0,,,,,,,,
2021-01-14,0,,,,,,,,
2021-01-15,0,,,,,,,,
2021-01-16,0,,,,,,,,
2021-01-17,0,,,,,,,,
2021-01-18,0,,,,,,,,
2021-01-19,0,,,,,,,,
2021-01-20,0,,,,,,,,
2021-01-21,0,,,,,,,,
2021-01-22,0,,,,,,,,
2021-01-23,0,,,,,,,,
2021-01-24,0,,,,,,,,
2021-01-25,0,,,,,,,,
2021-01-26,0,,,,,,,,
2021-01-27,0,,,,,,,,
2021-01-28,0,,,,,,,,
2021-01-29,0,,,,,,,,
2021-01-30,0,,,,,,,,
2021-01-31,0,,,,,,,,
2021-02-01,0,,,,,,,,
2021-02-02,0,,,,,,,,
2021-02-03,0,,,,,,,,
2021-02-04,0,,,,,,,,
2021-02-05,0,,,,,,,,
2021-02-06,0,,,,,,,,
2021-02-07,0,,,,,,,,
2021-02-08,14,60.284959426306855,64.44870330747388,80.54421558545877,5.777364544592721,34.799029674204924,0.9425348214285716,9.815562230148302,38.670706691094715
2021-02-09,6,70.49757815940114,77.48782504824038,82.67375163479463,7.359196869150925,13.236952132729636,2.8135279513888887,8.340633669148781,53.12214549307611
2021-02-10,0,,,,,,,,
2021-02-11,11,41.095232376606226,83.31193957399968,85.01063026071523,6.468977678778597,3.206399233722574,0.17799242424242426,27.228925257834593,53.39451735374129
2021-02-12,82,52.02822437735607,71.3359166119457,79.56249919939958,9.00222861340405,21.253445377639558,4.201356199186993,16.326666880335033,46.754250179792166
2021-02-13,65,48.94014835890662,55.797805877747074,69.55534378809736,6.804492087799897,34.30934808540255,15.75992139423077,12.669227399845008,33.001964603411494
2021-02-14,43,53.03984516604714,74.42375693926543,81.33744100549839,7.376212353241448,18.32711393031317,0.07118226744186047,16.653933522802518,48.364598548519076
2021-02-15,46,66.9059789788065,85.37585322319391,86.40359066041451,52.92851277271012,17.54161250103986,0.0034042572463768113,27.04512559751662,53.98634125883455
2021-02-16,80,61.15918097754294,66.4448630381737,77.29834100528285,8.609941296579885,26.91752392988293,5.5004120312500016,16.821479413053012,48.65532171434834
2021-02-17,21,57.51399635151285,64.19103237076223,74.27035567540372,10.00875082038941,29.930936750012393,14.123160119047622,17.37949231378929,41.009379746637215
2021-02-18,67,58.17346556517281,57.36957346258994,78.02900600952725,10.95822571674552,37.40933389458855,9.02152894900498,15.043377069972086,41.12747672358364
2021-02-19,29,61.581560606750784,60.914470633836814,75.0868487409729,8.882962806498742,30.28268597932486,7.417852550287356,17.31199117918045,45.590341954967926
2021-02-20,1,69.48480845442538,57.52805088466211,65.00046340634559,17.48340990301174,64.52114755694934,0.12395833333333335,52.80332895313185,27.54576345500384
2021-02-21,24,58.7296345222369,59.48914549024813,74.28300740420362,8.03130849072656,34.9678832629837,1.8835907118055555,15.524164111549133,48.72848843582154
2021-02-22,4,50.13210039630119,51.37676498514503,66.09024066236213,8.397141398672792,43.80853319669788,31.45260416666667,18.7883267630311,53.79809273265372
2021-02-23,0,,,,,,,,
2021-02-24,0,,,,,,,,
2021-02-25,0,,,,,,,,
2021-02-26,0,,,,,,,,
2021-02-27,0,,,,,,,,
2021-02-28,0,,,,,,,,
